Name_audio,Transcription,label,text_len,sentiment,clean_text
15dec_D12_2_p2,"Люба, я тебе хотел сказать. Я сегодня увидел сюжет по телевизору, то, что разбился самолёт, вот точно такой же, похожий, прямо вот с такими же наклейками этой же авиакомпании, на которой мы полетим в Новую Зеландию. Я не полечу, Люба. Вот что хочешь говори, я реально не могу. Я говорю о том, что разбился самолёт, Люба, и я боюсь, я реально боюсь. Это у меня паника, страх. Я просто не могу, Люба. Ну и что, билеты куплены! Люба, а ты видела этот сюжет? Просто там реально, там была куча багажа у людей, и там был чемодан точно такой же, как у меня. И я в это верю. Да, я хочу, чтоб ты полетела одна. Хочешь, возьми Христю, возьми Лизу, я не знаю, кого. Возьми Машку. Давай обменяем билеты, я готов заплатить за это, но только я не полечу. Ну мы договаривались, Люба, мы о многом договаривались, но я не могу, я увидел",страх,152,-1,люба хотеть сказать сегодня увидеть сюжет телевизор разбиться самолёт точно похожий прямо наклейка авиакомпания который полететь новый зеландия полечить люба хотеть говорить реально мочь говорить разбиться самолёт люба бояться реально бояться паника страх просто мочь люба ну билет купить люба видеть сюжет просто реально куча багаж человек чемодан точно верить хотеть полететь хотеть взять христя взять лиза знать взять машка давать обменять билет готовый заплатить полечить ну договариваться люба многое договариваться мочь увидеть
10dec_K51_1,"Фу. Господи, какой ужас, а. Ну вот. .",отвращение,8,-1,фу господь ужас а. ну
19dec_D52_2,"Кристин,я сейчас смотрю телевизор, это вообще какая-то жесть. И чё они там хавают эти личинки. Он прям по губам у него ползёт,понимаешь? И он вот так раскусывает и ему это нравится Да ладно слизь,там какая-то чёрная из них вот такая штучка выходит,стерженёк какой-то и он его вот так берёт и прям туда себе кидает Тараканов,тараканов хавают,прикинь! я не знаю просто,чё мне делать? Там другой еды нету. Чем мне питаться? Мне завтра вылетать,там две недели жить Да как их очищать,они целиком ",отвращение,80,-1,кристин смотреть телевизор вообще какой-то жесть хавать личинка прям губа ползти понимать раскусывать нравиться ладный слизь какой-то чёрный штучка выходить стерженёк какой-то брать прям туда кидать таракан таракан хавать прикинуть знать просто делать еда нету питаться завтра вылетать неделя жить очищать целиком
19dec_N12_1,"Выхожу из квартиры, захожу в лифт, спускаюсь с шестого этажа на второй, выхожу на лестничную клетку, спускаюсь на первый этаж, перехожу улицу, иду до остановки, жду маршрутку, сажусь в остановку, сажусь в маршрутку, еду до метро, захожу в вагон, еду до станции Таганская, перехожу на малиновую ветку, еду до Кузнецкого моста, выхожу из вагона поднимаюсь по эскалатору на улицу, выхожу на улицу, поворачиваю налево, еще раз налево, захожу в здание. Напротив дома стоит садик, огороженный большим черным забором, вокруг него много машин, мало места, вокруг дома строящиеся здания, дорога, улица, ёлки, на противоположной стороне.",нейтраль,94,0,выходить квартира заходить лифт спускаться шестой этаж второй выходить лестничный клетка спускаться первый этаж переходить улица идти остановка ждать маршрутка садиться остановка садиться маршрутка еда метро заходить вагон еда станция таганский переходить малиновый ветка еда кузнецкий мост выходить вагон подниматься эскалатор улица выходить улица поворачивать налево ещё налево заходить здание напротив дом стоить садик огородить больший чёрный забор вокруг машина мало место вокруг дом строиться здание дорога улица ёлка противоположный сторона
19dec_D33_1,"Да? Да из близких никто не может остаться с ним? Просто так жалко, мы ведь хотели. ",грусть,16,-1,близкий никто мочь остаться просто жалко хотеть
16dec_K23_2,"Угу. Да, жалко, что такие ценные сотрудники уходят. Но, возможно, ему там будет лучше. Угу, он всегда мог заменить тебя на рабочем месте, если куда-то нужно было уйти. Конечно, пройдёт. Таких людей мало. Таких людей мало, как он. Очень ценные советы давал.",грусть,42,-1,угу жалко ценный сотрудник уходить возможно хороший угу мочь заменить рабочий место куда-то нужно уйти конечно пройти человек мало человек мало очень ценный совет давать
19dec_D42_2,"Как это забыла? как замоталась? Подожди ты пониаешь, что нас летит 20 человек — мы в другие дни не можем. Ты всё время так делаешь. Что значит не истери? Мы 10 лет с тобой знакомы и ты делаешь всё вот... всегда так. Ты знаешь сколько мы дененг теряем? Что значит забыла? Всмысле ""прости""? Ты всем вернёшь деньги? Всмысле ""прости""? Что ты придумаешь? ЧТО?! что?",гнев,64,-1,забыть замотаться подождать пониаесть лететь 20 человек день мочь всё время делать значит истери 10 год знакомый делать всё ... знать сколько дененг терять значит забыть всмысл `` простить '' весь вернуть деньга всмысл `` простить '' придумать
22dec_N15_1,"Значит, правила игры в дурака. Обычного. 36 карт в колоде. Раздаются играющим по 6 карт. В конце колоды кладется в середину, вынимается последняя карта, переворачивается, эта карта является козырем. Значит, начинает тот, у кого наименьший, наименьшая карта козырная. Он ходит на слева сидящего человека. Этот человек должен покрыться картой либо той-же масти, либо козырной картой. Той-же масти выше по рангу. Если все участники говорят бита, значит карты уходят в биты. И следующий ход уже за тем человеком, который отбивался.",нейтраль,79,0,значит правило игра дурак обычный 36 карта колода раздаваться играть 6 карта конец колода класться середина выниматься последний карта переворачиваться карта являться козырь значит начинать малый малый карта козырный ходить слева сидеть человек человек должный покрыться карта либо той-же масть либо козырный карта той-же масть выше ранг всё участник говорить битый значит карта уходить битый следующий ход человек который отбиваться
16dec_D13_1," Да ,какой самолет? Послушай меня, успокойся . Это каждый раз . Я, тебя очень прощу , перестань паниковать , успокойся . Это из-за дня в день , куда бы мы не собрались . Перестань немедленно . Я, мы с тобой больше никуда не полетим . Ты слышишь меня? Мы больше никуда не полетим , никуда не поедем . ",гнев,58,-1,самолёт послушать успокоиться каждый очень простить перестать паниковать успокоиться из-за день день собраться перестать немедленно большой никуда полететь слышать большой никуда полететь никуда поехать
14dec_K61_2,"Ничего себе, Владислав Олегович. Владислав Олегович, удивили, а когда же вас назначили?",удивление,12,1,владислав олегович владислав олегович удивить назначить
19dec_K21_1,"А вы слышали Марья Сергеевна она уволилась из раздела маркетинга? Я, она уехала у нее там с мамой беда какая-то и она, то есть вообще с концами, в общем. Просто это единственный... Ну да и как человек знаете она всегда поддержит и с ней поговорить по душам как-то можно было, а щас. Ну да. Да и работник хороший какой был. Стаж такой. С мамой у нее.",грусть,66,-1,слышать марья сергеевич уволиться раздел маркетинг уехать мама беда какой-то вообще конец общий просто единственный ... ну человек знать поддержать поговорить душа как-то ну работник хороший стаж мама
16dec_K51_2,"Как, как какой отдел? Это главный редактор журнала Мэгазин. Да, да на 4 этаже. Да меня назначили. нет... Да вы что с ума сошли? Я тут уже год работаю. Вы где были? Боже. Главный редактор!",радость,35,1,отдел главный редактор журнал мэгазин 4 этаж назначить ... ум сойти год работать бог главный редактор
16dec_D13_2,"Вов, я никуда не полечу, завтра. Я очень прошу, что бы мы все отменили эту поездку. Потому что сегодня упал это самолет, опять, в очередной раз. Они постоянно падают! Я не хочу никуда лететь! Вова мы никуда не полетим! Потому что там погибли все люди, которые были на этом борту! Вова я никуда не поеду ! Это очень страшно, это очень опасно! Мы можем никуда… не вернуться сюда никогда в жизни! Я не могу перестать паниковать! Мы никуда с тобой не полетим! Я всех отговорю, что бы мы никуда не летели! Я вам тоже не позволю никуда лететь! Потому что мы упадем! Разобьемся!",страх,103,-1,вов никуда полечить завтра очень просить всё отменить поездка сегодня упасть самолёт очередной постоянно падать хотеть никуда лететь вова никуда полететь погибнуть всё человек который борт вова никуда поехать очень страшно очень опасно мочь никуда… вернуться сюда никогда жизнь мочь перестать паниковать никуда полететь весь отговорить никуда лететь позволить никуда лететь упасть разбиться
10dec_D41_1,"Ну... Ну я забыла. Ну-ну. Ну у меня экзамены были?.. Ну ты понимаешь, что? Ну ты мог мне напомнить? Ну я забыла, ну.",грусть,23,-1,ну ... ну забыть ну-ну ну экзамен .. ну понимать ну мочь напомнить ну забыть ну
15dec_K33_2,"М? Не надо со мной в таком тоне разговаривать. Я не молчал. Я не молчал. Я всё сказал. Я всё сказал. Вы не слышали, вы были в туалете. Вы вышли. Я сказал. В туалет. В туалет. Вы выходили. Чего вы, как вы со мной разговариваете? Любовь Алексеевна, вы держите субординацию! Вы встаньте на меточку обратно, пожалуйста! Какой комментарий?! ",гнев,58,-1,м тон разговаривать молчать молчать всё сказать всё сказать слышать туалет выйти сказать туалет туалет выходить разговаривать любовь алексеевич держать субординация встать меточка обратно пожалуйста комментарий
14dec_N24_1,"крокодил. для того чтобы сыграть в крокодил: нужна компания из пяти, шести и более человек. первый , встает лицом к другим и придумывает какой-нибудь предмет или человека или еще что-нибудь. он должен показать всеми способами, но при этом не говоря и не подсказывая другим описать этого человека или предмет. Другие же должны угадать. Кто первый угадает и произнесет вслух это слово, тот будет следующим игроком.",нейтраль,65,0,крокодил сыграть крокодил нужный компания пять шесть человек первый вставать лицо придумывать какой-нибудь предмет человек ещё что-нибудь должный показать весь способ говорить подсказывать описать человек предмет должный угадать первый угадать произнести вслух слово следующий игрок
