Name_audio,Transcription,label,text_len,sentiment,cleaned_text
10dec_D43_2,"Кристина, почему нельзя было купить билеты!? Я сделал всё! Я организовал, я договорился со всеми компаниями. Да могу конечно, конечно. Ах ты забыла, ну да, нормальная история да вот. Мы 5 лет с тобой дружим, и 5 лет ты забываешь. Ах навалилось, да . Погода не та, да!? Сатурн, тригон Сатурна там в Нептуне, да? Ну как ты вообще, чем ты соображешь? Как, как это возможно?",гнев,66,-1,кристина почему нельзя купить билет сделать всё организовать договориться весь компания мочь конечно конечно ах забыть ну нормальный история 5 год дружить 5 год забывать ах навалиться погода сатурн тригон сатурн нептун ну вообще сообразать возможно
10dec_D51_1,Это фу ну. Ну фу . Ну тебе самому непротивно?,отвращение,10,-1,фу ну ну фу ну непротивный
10dec_D51_2,"Мы в тот раз, когда ездили в Китай, там Женька заказал, знаешь этих . Личинки, живые такие. И у них знаешь морды такие красные были. Они вот такие склизкие были. И он так их брал, понимаешь, мне сразу блевать тянуло, понимаешь? И вот там жуки, они вот такие. У них мерзкие лапки такие, знаешь? И они фу . А там. А там знаешь ещё этот  . Там какя-то слизь была такая, как сопли, знаешь? Вот так вот поднимаешь. И он это ел всё. А ему нравилось.",отвращение,86,-1,ездить китай женька заказать знать личинка живой знать морда красный склизкий брать понимать сразу блевать тянуть понимать жук мерзкий лапка знать фу знать ещё какть-то слизь сопля знать поднимать всё нравиться
10dec_D52_1,"Фу! Да фу, ну он же склизский! ",отвращение,7,-1,фу фу ну склизский
10dec_D52_2,"Слушай, я там смотрел видео чо они там хавают. Там эти, ... Личинки какие-то, знаешь? И у них мордочка такая красная. И у них лапки какие-то мерзкие такие. Слушай, а когда он его съедал, это, потом жука у него вот так вот вытекал гной какой-то из него. Слизь там какая-то. И ... эти ... Как сопли слушай, ну такие. Это можно просто ",отвращение,62,-1,слушать смотреть видео хавать ... личинка какой-то знать мордочка красный лапка какой-то мерзкий слушать съедать жук вытекать гной какой-то слизь какой-то ... ... сопля слушать ну просто
10dec_D71_1,"Родион, у меня для тебя хорошая новость! Мы едем в Новую Зеландию! Ну вот так едем! Я мне выдали премию и там был горящий тур и я решила купить. Ну как, как какая? Ну у нас годовая премия была. Да почему не может? Ну у нас за целый год выбрали...",радость,50,1,родион хороший новость ехать новый зеландия ну ехать выдать премия гореть тур решить купить ну ну годовой премия почему мочь ну целый год выбрать ...
10dec_D71_2," Подожди как, как едем? Какая премия? Откуда? Как? Ну... Подожди, какая годовая да это быть не может . Ну как. Какая премия? Вам 20 лет премию не выдавали.",радость,28,1,подождать ехать премия откуда ну ... подождать годовой мочь ну премия 20 год премия выдавать
10dec_D72_1,"Мы едем в новую Зеландию я купила нам билеты! Ну вот так купила, нам выдали премию на работе и там были горячие путевки. Ну вот такая премия! Ну вот начальник у нас вот такой добрый стал под новый год, решил выдать всем премии. Ну как не может быть! Ну и что это же круто, смотри горячие путевки прям для нас, понимаешь. Да может, как...",радость,64,1,ехать новый зеландия купить билет ну купить выдать премия работа горячий путёвка ну премия ну начальник добрый стать новый год решить выдать весь премия ну мочь ну круто смотреть горячий путёвка прям понимать мочь ...
10dec_D72_2," Как, подожди, как купила? Подожди какая премия? Вам никогда премию не давали. Этого быть не может! Какая Новая Зеландия, мы десять лет туда не можем поехать . Не может быть, ты чего",радость,32,1,подождать купить подождать премия никогда премия давать мочь новый зеландия десять год туда мочь поехать мочь
10dec_K12_1,"Подождите. Что произошло? Стоп, а каком мы этаже? Подождите, может быть. Стоп. Сейчас. Подождите. Надо что-то. Надо вызвать диспетчера.",страх,19,-1,подождать произойти стоп этаж подождать мочь стоп подождать что-то вызвать диспетчер
10dec_K12_2,"А, застряли что ли? А. Так, , я ж, , таблетки щас не, я ж таблетки не взял, боже, они там в кабинете же остались . Че делать то? Я щас, я щас задыхаться же начну. . У меня, щас. .",страх,41,-1,застрять а. таблетка таблетка взять бог кабинет остаться че делать задыхаться начать
10dec_K41_1,"Ты понимаешь, он меня уволил, ну как так можно, а? Да, да я столько вложила в эту компанию, я ежегодно ездила на эти фестивали, тратила свое время, я, я практически не была с семьей, понимаешь, я с десяти утра, до шести, до шести рабочий день, но я-то сидела до девяти вечера в офисе. Сколько я потратила на это времени? Сколько я вложила своих сил? И вот так вот, пожалуйста, нате. Четыре года. Я шесть лет проработала в этой компании.",гнев,79,-1,понимать уволить ну столько вложить компания ежегодно ездить фестиваль тратить свой время практически семья понимать десять утро шесть шесть рабочий день я-то сидеть девять вечер офис сколько потратить время сколько вложить свой сила пожалуйста нате четыре год шесть год проработать компания
10dec_K41_2,"Он нас уволил. Я вообще поражаюсь, конечно. Просто. Да, он просто взял и уволил! Урод, понимаешь? Урод! Четыре года? Четыре года, прикинь. Ха, шесть лет.",гнев,25,-1,уволить вообще поражаться конечно просто просто взять уволить урод понимать урод четыре год четыре год прикинуть ха шесть год
10dec_K42_1,"Ну ты понимаешь, что случилось ? Как так можно было потратить столько лет на эту контору, чтобы она тебя вот так потом вышвырнула? Да? И тебе нормально с этим живется я смотрю? Я столько сил вложила в эту компанию, я столько встреч провела, столько семинаров сделала. Ты понимаешь? Да он не урод. Он просто, я не знаю. Четыре года? Я шесть лет проработала в этой компании. И что? И какое, это спасибо значит?",гнев,73,-1,ну понимать случиться потратить столько год контора вышвырнуть нормально житься смотреть столько сила вложить компания столько встреча провести столько семинар сделать понимать урод просто знать четыре год шесть год проработать компания спасибо значит
10dec_K42_2," Да, вот так просто взяла и вышвырнула. Нет, не нормально мне живётся с этим. Просто урод. Урод! Просто урод! Четыре года, понимаешь? Четыре. ",гнев,23,-1,просто взять вышвырнуть нормально житься просто урод урод просто урод четыре год понимать четыре
10dec_K51_1,"Фу. Господи, какой ужас, а. Ну вот. .",отвращение,8,-1,фу господь ужас а. ну
10dec_K51_2,Что за вонь? Я. . Сколько ехать-то еще с этим?,отвращение,10,-1,вонь я. сколько ехать-то ещё
10dec_K52_2,"Да. Что за вонь-то? Здесь чё осёл что ли был, я не понимаю? Что за? Ой, центр Москвы. Сколько ехать-то еще вообще? Фу ты. Вот срань, а. У вас. У вас салфетка.",отвращение,32,-1,вонь-то осёл понимать ой центр москва сколько ехать-то ещё вообще фу срань а. салфетка
10dec_K53_1, Угу. Еще двадцать этажей. Ну пере...,отвращение,6,-1,угу ещё двадцать этаж ну перо ...
10dec_K53_2,"Вы тоже чувствуете вонь? Да, фу. Че здесь кабан что ли был. Что за мерзость. Девушка, сколько нам там ехать еще? Тьфу, ты. Можно я. ",отвращение,25,-1,чувствовать вонь фу че кабан мерзость девушка сколько ехать ещё тьфу
10dec_K61_1,"Представляешь, меня назначили начальником нового отдела по работе с корпоративными клиентами. Ну да, по работе с зарубежными клиентами. Ну это же круто! Да. Ну вот буквально пару дней назад. Ну я не знаю. Смотри, мы продумали стратегию, чтобы. Там .",радость,40,1,представлять назначить начальник новый отдел работа корпоративный клиент ну работа зарубежный клиент ну круто ну буквально пара день назад ну знать смотреть продумать стратегия
10dec_K61_2,"Как? Что за? Такой отдел есть? В смысле? Подожди, то есть у нас открыли этот отдел? Подожди, когда открыли? Как. Как, подожди, почему, почему я не знал об этом? Что. Нет, подожди. В смысле, а сколько там сотрудников?",удивление,38,1,отдел смысл подождать открыть отдел подождать открыть подождать почему почему знать подождать смысл сколько сотрудник
10dec_K71_1,"Представляешь, меня назначили начальником нового отдела по работе с корпоративными зарубежными клиентами! Ну вот так. У нас открылся новый отдел, мы решили разграничить свои обязанности и поэтому я постоянно буду организовывать поездки за границу, буду проводить всякие разные фестивали, мероприятия, понимаешь? Такие конгрессы. Ну вот так. Ну появился совсем недавно, мы решили, что так будет проще, просто кто-то будет работать именно по российской федерации, а я буду.",радость,67,1,представлять назначить начальник новый отдел работа корпоративный зарубежный клиент ну открыться новый отдел решить разграничить свой обязанность поэтому постоянно организовывать поездка граница проводить всякий разный фестиваль мероприятие понимать конгресс ну ну появиться совсем недавно решить простой просто кто-то работать именно российский федерация
10dec_K71_2," Как? Подожди. Что за отдел? Ну, в смысле, у нас есть такой отдел? .",удивление,14,1,подождать отдел ну смысл отдел
10dec_K72_1,"Представляешь меня назначили, директором по работе с зарубежными клиентами. Как тебе?! по работе . Рекламный отдел по работе с зарубежными клиетами. Я начальник этого отдела. Ну конечно! Мы решили раграничить так свои права, просто будет проще и каждый отдел будет отвечать за определенную рекламу. Я за зарубежную, а другой отдел за российскую.",радость,52,1,представлять назначить директор работа зарубежный клиент работа рекламный отдел работа зарубежный клиетами начальник отдел ну конечно решить раграничить свой право просто простой каждый отдел отвечать определённый реклама зарубежный отдел российский
10dec_K72_2, Подожди. В каком отделе? Как? У нас есть этот отдел? .,удивление,11,1,подождать отдел отдел
10dec_N11_1_p1,"Выхожу из квартиры. Захожу в лифт. Спускаюсь на второй этаж. На втором этаже спускаюсь по лестнице на первый этаж. Выхожу из подъезда. Перехожу дорогу. Сажусь в маршрутку. Еду до метро. Сажусь в метро, еду до станции Багратионовская, делаю три пересадки. Выхожу на Багратионовской. Иду минут десять через парк. Захожу в институт. ",нейтраль,51,0,выходить квартира заходить лифт спускаться второй этаж второй этаж спускаться лестница первый этаж выходить подъезд переходить дорога садиться маршрутка еда метро садиться метро еда станция багратионовский делать пересадка выходить багратионовский идти минута десять парк заходить институт
10dec_N11_1_p2,"Вокруг дома. На против дома находится садик. Садик с бассейном. Небольшое здание трех, четырехэтажное, достаточно светлое с желтыми, зелеными, коричневыми панелями. Вокруг магазины, очень много стройки. Много строящихся домов, что-то уже построилось, что-то нет. Если пройти прямо по проспекту метров через семьсот будет парк. Парк, там небольшой искусственный пруд. Также много детских площадок сделанных, храм. Храм стоит в центре парка. Если пройти чуть правее будет железная дорога, электрички. ",нейтраль,68,0,вокруг дом против дом находиться садик садик бассейн небольшой здание четырёхэтажный достаточно светлый жёлтый зелёный коричневый панель вокруг магазин очень стройка строиться дом что-то построиться что-то пройти прямо проспект метр семьсот парк парк небольшой искусственный пруд также детский площадка сделать храм храм стоить центр парк пройти правый железный дорога электричка
10dec_N11_1_p3,"Захожу в магазин, покупаю тыкву, небольшую грамм пятьсот. Марковка, лук. Прихожу домой. Мою тыкву половинку, чищу, режу на мелкие кусочки, бросаю в кипящую воду. Минут десять, пятнадцать она закипает. Сливаю воду. Толку тыкву. Добавляю туда пассерованную морковку, пассерованный лук. Все это солю, перчу. Добавляю кореандр. Взбиваю все блендером. Добавляю сливки. Подаю на стол с кунжутом. ",нейтраль,55,0,заходить магазин покупать тыква небольшой грамм пятьсот марковка лук приходить домой тыква половинка чистить реж мелкий кусочек бросать кипеть вода минута десять пятнадцать закипать сливать вода толк тыква добавлять туда пассеровать морковка пассеровать лук всё солить перчить добавлять кореандра взбивать всё блендер добавлять сливка подавать стол кунжут
10dec_N11_1_p4,"Игра остров сокровищ. Перед участниками игры раскладываются карты, там около ста двадцати ходов. Каждый ход имеет определенное задание. Выдаются каждому человеку по одной фишке. Это фишка персонаж. Бросается кубик у кого самое большое количество, количество цифр. Этот человек идет первым. И начинается игра. Если человек попадает на цифру пять, там зашифрован сундук. Он берет карточку и читает задание. ",нейтраль,58,0,игра остров сокровище участник игра раскладываться карта около сто двадцать ход каждый ход иметь определённый задание выдаваться каждый человек фишка фишка персонаж бросаться кубик самый большой количество количество цифра человек идти первый начинаться игра человек попадать цифра пять зашифровать сундук брать карточка читать задание
10dec_N11_1_p5,Меня зовут Александрова Кристина. Мне двадцать два года. Родилась я в городе Новосибирске. Прожила там до двенадцати лет и переехала в Москву. С детства занималась синхронным плаванием: ну как с детства: с десяти лет. Продолжила уже спортивную карьеру здесь. Училась в школе параллельно. Закончила школу. Два года поступала в театральный институт. Поступила со второго года. Сейчас заканчиваю четвертый курс.,нейтраль,59,0,звать александров кристина двадцать год родиться город новосибирск прожить двенадцать год переехать москва детство заниматься синхронный плавание ну детство десять год продолжить спортивный карьера учиться школа параллельно закончить школа год поступать театральный институт поступить второй год заканчивать четвёртый курс
10dec_N11_2_p1,Встаю в восемь-тридцать. Иду в душ. Одеваю линзы. Мою руки. Затем чищу зубы. Иду на кухню. Выпиваю стакан комнатной температуры воды. Выпиваю лекарство. Иду обратно в душ.Принимаю душ. Обливаюсь холодной водой. Выхожу сушу волосы. Одеваюсь. Иду на кухню завтракаю. Выпиваю кофе. Беру собой фрукты на работу. Выхожу из дома на работу.,нейтраль,51,0,вставать восемь-тридцать идти душа одевать линза рука затем чистить зуб идти кухня выпивать стакан комнатный температура вода выпивать лекарство идти обратно душ.принимать душа обливаться холодный вода выходить суша волос одеваться идти кухня завтракать выпивать кофе брать фрукт работа выходить дом работа
10dec_N11_2_p2," Зимой много слякоти. . Где-то, где огороженная местность, там сугробы снега. Узкие дороги для проезда. Мало мест для парковки.Очень много машин всегда, трудно проехать на автомобиле. Много строившихся домов. Много рабочих. Достаточно шумно бывает во время активной стройки. Работают краны строительные. Очень много детей, мамочек на детской площадке. . ",нейтраль,49,0,зимой слякоть где-то огородить местность сугроб снег узкий дорога проезд мало место парковки.очень машина трудно проехать автомобиль строиться дом рабочий достаточно шумно бывать время активный стройка работать кран строительный очень ребёнок мамочка детский площадка
10dec_N11_2_p3,"Как я готовлю бутерброд. Беру хлеб желательно белый. Беру батон белого хлеба. Отрезаю небольшой, тонкий кусок. Отрезаю кусок колбасы тоненько. Сверху кладу сыр. Немножко поливаю соусом табаско. Можно еще ""сиртаки"" туда положить сыр. Беру завариваю чай. Заливаю молоком и выпиваю и съедаю бутерброд. ",нейтраль,43,0,готовить бутерброд брать хлеб желательно белый брать батон белый хлеб отрезать небольшой тонкий кусок отрезать кусок колбаса тоненько сверху класть сыр немножко поливать соус табаско ещё `` сиртаки '' туда положить сыр брать заваривать чай заливать молоко выпивать съедать бутерброд
10dec_N11_2_p4,"Шахматы. Есть пешки, ферс, слон, ладья. Ладья это по-моему ест. Ферс это разное с ладьей. Королева, король, Кто еще? Не помню кто еще. Пешки хотят один на одну клетку вперед могут ходить, а при первом ходе могут на две клетки вперед ходить, а последующие ходы на одну клетку. Королева может ходит не ограниченное количество клеток вперед . Она вообще может как угодно по-моему ходить. Король может ходить на одну клетку вправо, влево, вперед, назад, да, и по диагонали по-моему по одной клетке. Да. ",нейтраль,83,0,шахматы пешка ферс слон ладья ладья по-моему ферс разный ладья королева король ещё помнить ещё пешка хотеть клетка вперёд мочь ходить первый ход мочь клетка вперёд ходить последующий ход клетка королева мочь ходить ограниченный количество клетка вперёд вообще мочь угодный по-моему ходить король мочь ходить клетка вправо влево вперёд назад диагональ по-моему клетка
10dec_N11_2_p5,"Меня зовут Родион Долоконников. Мне двадцать пять лет. Родился тридцать первого августа девяносто первого года, в Алмате это Казахстан. Родился, да родился в Алмате. В шестнадцать лет переехал в Москву. Поступил во ВГИК на актера. Закончил мастерскую Александра Яковливича Михайлова. В двадцать лет. В шестьнадцать поступил, в двадцать лет я уже закончил. Работал я в театре Сергея Безрукого, когда у него еще был антрепризный театр. Потом оттуда ушел. И сейчас я вольный художник.",нейтраль,73,0,звать родион долоконник двадцать пять год родиться тридцать первый август девяносто первый год алмат казахстан родиться родиться алмат шестнадцать год переехать москва поступить вгик актёр закончить мастерская александр яковливич михайлов двадцать год шестьнадцать поступить двадцать год закончить работать театр сергей безрукий ещё антрепризный театр оттуда уйти вольный художник
14dec_D11_1,"И? Что, что, что? Алина, хватит переживать. Самолет это очень редкий случай, ну разбился, ну ошибка пилота, двигатель - это очень редко, хватит паниковать по пустякам. Может мы вообще не будем летать, сидеть в Москве и никуда не выезжать. Но это один на миллион, когда он так разбился. ",гнев,48,-1,алина хватить переживать самолёт очень редкий случай ну разбиться ну ошибка пилот двигатель очень редко хватить паниковать пустяк мочь вообще летать сидеть москва никуда выезжать миллион разбиться
14dec_D11_2," Влад, я сегодня посмотрела новости. Ты знаешь, я наверно сдам билеты. Ты видел ,там же самолет разбился. Я не поеду Влад,я знаю что со мной что-нибудь случится. Ты видел сколько людей? Все погибли .Влад ты понимаешь сколько людей погибло .Ты понимаешь что сейчас опасная ситуация и летать просто так вот не надо лучше. Давай я лучше просто сдам билет и всё .Влад ну пожалуйста, ты меня можешь послушать, ты понимаешь сколько людей погибло",страх,73,-1,влад сегодня посмотреть новость знать наверно сдать билет видеть самолёт разбиться поехать влад знать что-нибудь случиться видеть сколько человек всё погибнуть .влад понимать сколько человек погибнуть .ты понимать опасный ситуация летать просто хороший давать хороший просто сдать билет всё .влад ну пожалуйста мочь послушать понимать сколько человек погибнуть
14dec_D12_1,"И что ты там опять увидела? И что? И что теперь? Хватит тебе паниковать, вот хватит по каждой ерунде ты паникуешь! Ну вот самолёт упал, но это такая редкость. Почему ты думаешь что вот сейчас упал один, значит завтра упадет второй ?!Самолёты падают реже… ты… хватит паниковать хватит Мы уже заплатили деньги всё-всё-всё",гнев,53,-1,увидеть хватить паниковать хватить каждый ерунда паниковать ну самолёт упасть редкость почему думать упасть значит завтра упасть второй самолёт падать реже… ты… хватить паниковать хватить заплатить деньга всё-всё-всё
